cbsa_code,cbsa_name,MedianHouseholdIncome_B19013,TotalPopulation_B01003,MedianAge_B01002,TotalPovertyUniverse_B17001,BelowPoverty_B17001,IndustryTotalEmployed_C24050,IndustryAgForestryMining_C24050,IndustryConstruction_C24050,IndustryManufacturing_C24050,IndustryWholesaleTrade_C24050,IndustryRetailTrade_C24050,IndustryTransportUtilities_C24050,IndustryInformation_C24050,IndustryFinanceRealEstate_C24050,IndustryProfSciMgmtAdminWaste_C24050,IndustryEducationHealthCare_C24050,IndustryArtsRecAccommodationFood_C24050,IndustryOtherServices_C24050,IndustryPublicAdmin_C24050,TotalEmployed_C24010,ManagementBusiness_C24010,ScienceEngineering_C24010,ServiceOccupations_C24010,SalesOffice_C24010,Construction_C24010,ProductionTransportation_C24010,TotalPopulation25Plus_B15003,BachelorsDegree_B15003,MastersDegree_B15003,ProfessionalDegree_B15003,DoctorateDegree_B15003,TotalRace_B02001,WhiteAlone_B02001,BlackAlone_B02001,AmericanIndianAlaskaNative_B02001,AsianAlone_B02001,NativeHawaiianPacificIslander_B02001,SomeOtherRace_B02001,TwoOrMoreRaces_B02001,MedianGrossRent_B25064,MedianHomeValue_B25077,LaborForce_B23025,Unemployed_B23025,city,cbsa_type,state,TotalPopulation_B01003_prior,IndustryTotalEmployed_C24050_prior,MedianGrossRent_B25064_prior,MedianHomeValue_B25077_prior,population_growth,job_growth,median_rent_growth,median_home_value_growth,industry_ag_forestry_mining_share,industry_construction_share,industry_manufacturing_share,industry_wholesale_share,industry_retail_share,industry_transport_utilities_share,industry_information_share,industry_finance_real_estate_share,industry_prof_sci_mgmt_admin_share,industry_education_health_share,industry_arts_rec_accommodation_food_share,industry_other_services_share,industry_public_admin_share,white_collar_share,blue_collar_share,service_job_share,sales_share,bachelors_or_higher_share,age_22_34_total,age_65_plus_total,age_22_34_share,age_65_plus_share,unemployment_rate,poverty_rate,diversity_index,land_area_m2,water_area_m2,land_area_sqmi,water_area_sqmi,centroid_lat,centroid_lon,population_density_per_sq_mile
46300,"Twin Falls, ID Metro Area",66473,116909,35.5,115330,13163,54752,4946,4365,6358,1039,7241,3371,519,2369,3754,11164,5272,2067,2287,54752,8933,4890,772,1376,597,364,74770,9666,4226,856,983,116909,92498,812,740,1314,292,7349,13904,981,284200,56623,1871,Twin Falls,Metro,ID,110272.0,51808.0,810.0,181500.0,0.0601875362739408,0.05682520074119827,0.2111111111111111,0.5658402203856749,9.033459964932788,7.972311513734658,11.612361192285213,1.8976475745178258,13.225087668030392,6.156852717708943,0.9479105786090005,4.326782583284629,6.8563705435417885,20.39012273524255,9.628872004675628,3.7752045587375807,4.177016364699006,25.246566335476327,1.755187025131502,1.4099941554646407,2.5131502045587375,21.03918683964157,10172,21133,8.700784370749899,18.076452625546366,3.304310969040849,11.413335645538888,0.3556912557616261,6524845832,30969583,2519.257,11.957,42.440397,-114.568729,46.406142763521146
46340,"Tyler, TX Metro Area",71923,238014,37.4,231542,28262,109601,3448,8266,9774,3097,13346,6145,1444,6403,9680,28769,9410,6119,3700,109601,16886,7757,2086,3008,1358,1236,157478,28778,10344,2517,2047,238014,164335,39645,967,3925,194,8288,20660,1197,220800,114273,4672,Tyler,Metro,TX,230184.0,104190.0,955.0,164200.0,0.03401626524867063,0.05193396679143872,0.2534031413612565,0.3447015834348356,3.1459566974753885,7.541901989945347,8.917801844873678,2.825704145035173,12.17689619620259,5.606700668789518,1.317506227132964,5.842099980839591,8.832036204049233,26.248848094451695,8.58568808678753,5.5829782574976505,3.375881606919645,22.484283902519138,2.3667667265809618,1.9032673059552376,2.744500506382241,27.741017792961557,21975,43998,9.2326501802415,18.485467241422775,4.088454840601017,12.205992865225316,0.4865087010567837,2386604748,73163264,921.473,28.248,32.375105,-95.268939,258.2973131062983
46380,"Ukiah, CA Micro Area",64688,90709,43.9,89200,13524,37656,2066,2776,2796,794,4431,2071,389,1617,3515,8869,4276,1720,2336,37656,5320,2993,498,790,374,139,65191,9871,4348,1507,522,90709,61962,858,3195,2014,81,7380,15219,1325,486000,41537,3881,Ukiah,Micro,CA,87110.0,37369.0,1134.0,388500.0,0.04131557800482149,0.007680162701704621,0.16843033509700175,0.25096525096525096,5.486509454004674,7.371999150201828,7.425111536010198,2.1085617165923094,11.767049075844486,5.499787550456767,1.0330359039728065,4.294136392606756,9.334501805821118,23.552687486721904,11.355428085829615,4.567665179519864,6.2035266624176755,22.076163161249205,1.3623326959847037,1.3224984066284258,2.097939239430635,24.923685784847603,6460,23645,7.121674806248553,26.066873187886536,9.343476900113153,15.161434977578475,0.4968015291555179,9082586851,961786019,3506.807,371.348,39.432388,-123.442881,25.866550397555386
46460,"Union City, TN Micro Area",53102,30570,41.9,30129,5121,12914,217,747,3067,314,1555,720,192,398,726,2808,841,662,667,12914,1577,835,140,274,84,118,21523,2351,1247,146,143,30570,24503,3226,34,69,40,675,2023,770,122700,13420,506,Union City,Micro,TN,30343.0,12613.0,647.0,96600.0,0.007481132386382362,0.0238642670260842,0.1901081916537867,0.2701863354037267,1.6803469103298747,5.7844200092922415,23.749419234938827,2.431469722781477,12.041195601672603,5.57534458726963,1.4867585566052346,3.0819265912962677,5.621805792163544,21.743843890351556,6.512312219296887,5.1262196066284655,5.164937277373393,18.677404367353258,1.5641938980950905,1.0840947808579835,2.1217283568220537,18.059750034846445,2241,6813,7.33071638861629,22.286555446516193,3.7704918032786887,16.996913272926417,0.34152663454981225,1411149165,27448111,544.848,10.598,36.361892,-89.148078,56.10739141925822
46500,"Urbana, OH Micro Area",74239,38772,41.6,38183,3131,19026,698,1040,4749,304,1714,1107,195,593,1318,3977,1156,1091,1084,19026,2962,1744,359,734,248,417,27314,3491,1496,207,25,38772,35795,661,90,152,0,332,1742,884,186300,20067,1041,Urbana,Micro,OH,38861.0,18084.0,737.0,137200.0,-0.0022902138390674454,0.05209024552090245,0.1994572591587517,0.35787172011661805,3.6686639335645954,5.46620414170083,24.960580258593502,1.5978135183433197,9.008724902764637,5.8183538315988645,1.0249132765689057,3.1167875538736465,6.927362556501629,20.90297487648481,6.075896142121308,5.734258383265005,5.697466624618943,24.734573741196257,3.495217071376012,1.8868916219909597,3.8578786923157784,19.107417441605037,2975,8312,7.673063035180026,21.438151243165173,5.187621468081926,8.199984286200666,0.14526554701107774,1111045221,2180178,428.977,0.842,40.132775,-83.767604,90.38246805772805
46520,"Urban Honolulu, HI Metro Area",104264,1003666,39.4,972612,88808,462629,2976,32253,14557,10671,49037,32064,7576,30556,50034,108301,60765,19474,44365,462629,88478,36291,10616,21262,9835,8385,707526,167802,66671,19861,12566,1003666,188777,24427,2425,427206,99676,16123,245032,2054,873000,485957,23328,Urban Honolulu,Metro,HI,979682.0,464037.0,1779.0,702300.0,0.02448141335657897,-0.0030342408040738133,0.15458122540753233,0.24305852199914565,0.6432800364871203,6.971677088984911,3.14658181826042,2.306599888895854,10.599638154979477,6.930823618925748,1.6375972971862982,6.6048604821574095,10.81514561343971,23.40990296760471,13.134714857909902,4.209420507577346,9.589757667591094,26.96955876090777,3.938360976073701,2.2947113129527117,4.5959073036925915,37.7229953386872,98599,196947,9.823885635261133,19.622762951021556,4.800424728936922,9.130876444049632,0.713126990106421,1556027672,4054461969,600.786,1565.437,21.461365,-158.201974,1670.5881961297368
46540,"Utica-Rome, NY Metro Area",68830,289577,41.6,278198,39852,129997,1705,7496,12405,2221,14759,6271,1454,9732,11917,36735,10508,5920,8874,129997,22235,9791,2829,5388,2589,2018,201985,30926,17500,2898,2524,289577,242604,13402,419,9937,221,6169,16825,896,163400,136347,6350,Utica-Rome,Metro,NY,290812.0,131741.0,760.0,127000.0,-0.004246729846086131,-0.013238095961014414,0.17894736842105263,0.2866141732283465,1.3115687285091195,5.766286914313407,9.542527904490104,1.708500965406894,11.35333892320592,4.823957475941752,1.1184873497080703,7.486326607537097,9.167134626183682,28.258344423332847,8.083263459925998,4.553951245028731,6.8263113764163785,24.635953137380092,3.543927936798542,2.1762040662476827,4.144711031793041,26.659405401391194,24858,63092,8.584245295724454,21.78764197432807,4.657234849318283,14.3250490657733,0.29096017908588645,6793611507,237715696,2623.028,91.783,43.33228,-75.173189,110.39798278935643
46580,"Utuado, PR Micro Area",17624,27896,46.3,27765,14852,7016,222,478,515,137,1124,187,93,246,465,2022,434,337,756,7016,685,280,81,32,1,0,20872,3940,617,127,63,27896,15515,491,18,86,0,9557,2229,466,103600,9578,2562,Utuado,Micro,PR,,,,,,,,,3.164196123147092,6.812998859749145,7.34036488027366,1.952679589509692,16.020524515393387,2.6653363740022806,1.3255416191562144,3.506271379703535,6.627708095781072,28.81984036488027,6.185860889395666,4.803306727480046,10.775370581527936,13.754275940706956,0.014253135689851768,1.154503990877993,0.45610034207525657,22.74338827136834,2336,6969,8.37396042443361,24.982076283338113,26.748799331802047,53.4918062308662,0.5665967232217926,294045394,3982227,113.532,1.538,18.270865,-66.702989,245.7104604869112
46620,"Uvalde, TX Micro Area",57849,24810,34.6,23990,5242,10463,843,906,726,271,1137,287,61,456,873,2497,805,888,713,10463,1348,560,83,195,18,62,15508,2344,521,126,136,24810,16673,354,316,431,0,2788,4248,966,144400,10804,341,Uvalde,Micro,TX,26899.0,11516.0,834.0,103000.0,-0.07766087958660173,-0.09143799930531435,0.15827338129496402,0.40194174757281553,8.056962630220777,8.659084392621619,6.938736500047788,2.590079327152824,10.86686418809137,2.7429991398260536,0.5830067858166874,4.3582146611870405,8.343687278983083,23.865048265315874,7.693778075121858,8.487049603364236,6.814489152250788,18.235687661282615,0.7645990633661474,0.7932715282423779,1.8637102169549842,20.163786432808873,2308,3957,9.302700523982265,15.949214026602176,3.1562384302110327,21.85077115464777,0.5057669079035332,4019458733,17382915,1551.922,6.712,29.350308,-99.768427,15.986628193942737
46660,"Valdosta, GA Metro Area",54581,149139,32.6,144088,30493,62796,1236,4288,5342,1555,8814,3522,363,3283,5788,15004,6925,2513,4163,62796,8026,3525,846,1413,673,605,91604,13714,6072,1261,1410,149139,81303,52504,483,2784,162,4050,7853,976,182300,66512,3716,Valdosta,Metro,GA,146462.0,60235.0,790.0,137300.0,0.018277778536412177,0.042516809164107244,0.23544303797468355,0.3277494537509104,1.9682782342824383,6.828460411491177,8.506911268233646,2.476272374036563,14.035925855150008,5.608637492833939,0.5780622969615898,5.228040002547933,9.217147589018408,23.893241607745715,11.02777246958405,4.001847251417288,6.629403146697242,18.394483725078032,2.035161475253201,1.3472195681253583,2.250143321230652,24.51530500851491,19479,23569,13.060969967614106,15.803378056712194,5.58696175126293,21.162761645660986,0.5750048303341997,4163063874,55725998,1607.368,21.516,30.827158,-83.243555,92.78460190821268
