cbsa_code,cbsa_title,n_tracts,total_population_weight,obesity_share,physical_inactivity_share,depression_share,current_asthma_share,diabetes_share,stroke_share,coronary_heart_disease_share,arthritis_share,any_disability_share,current_smoking_share,binge_drinking_share
10100,"Aberdeen, SD",10,32315,34.901711279591524,24.237019959771004,20.380343493733562,9.771295064211666,11.137416060652948,3.33592758780752,6.596871421940274,27.86167723967198,30.50529166021971,14.208277889524988,17.126501624632525
10140,"Aberdeen, WA",20,60530,37.02505699653065,23.624242524368082,27.132958863373535,11.732003964976046,13.41242359160747,4.144563026598381,7.906168841896582,31.228663472658187,35.458485048736165,15.352284817445893,15.57936560383281
10180,"Abilene, TX",49,135448,35.39465920500857,27.25909057350422,23.362870621936093,10.152726507589628,12.225253972004015,3.4306796704270273,6.325993739294784,24.32664491170043,32.55822603508357,14.047483166971826,17.682744669541076
10220,"Ada, OK",11,28970,39.905536762167756,29.86491888160166,25.61334483948913,12.101739730755954,12.410334829133587,3.843983431135658,7.454901622367966,28.357352433551956,37.775495340006906,16.767846047635484,14.41280289955126
10300,"Adrian, MI",25,78518,40.794929825008275,26.490343615476704,27.941693624391856,11.535893680429965,12.39593596372806,3.7730978883822814,7.48559820678061,29.764912504139176,33.4244924730635,15.8403117756438,16.260147991543338
10420,"Akron, OH",176,560546,36.720814884059465,26.362834450696287,25.832659050283116,11.349966104476707,13.345496355339257,3.6195475482832813,6.943841005020105,30.599745069985342,30.855463958354886,15.18907725681746,15.38315428171818
10460,"Alamogordo, NM",21,52218,37.51607108659849,25.579089585966525,24.297284461296872,10.323313799839134,13.44184763874526,4.147227009843349,7.6716400474932005,26.098031330192658,35.98386954689954,15.58242368531924,14.263945382818184
10480,"Alamosa, CO",9,20938,30.96712197917662,25.560129907345495,21.466634826631008,10.839096379787945,13.36880313305951,3.8958830833890534,7.410292291527367,26.876258477409493,35.046021587544175,13.328560511987774,15.075761772853186
10500,"Albany, GA",47,114590,41.05901038485034,32.371357011955666,19.837143729819353,11.472696570381363,17.349952002792563,5.0598970241731385,7.556619251243564,29.21376559909242,36.42374901823894,17.860322017628064,12.442857142857143
10540,"Albany, OR",28,100402,40.044353698133506,22.685049102607515,30.773136989303,12.796396486125772,12.155808649230096,3.7962879225513437,7.1828668751618485,32.22397561801558,33.530907750841614,14.372171869086273,16.255761837413598
10580,"Albany-Schenectady-Troy, NY",251,723194,32.083539962997484,21.85683426577101,20.561713869307543,10.963795191884888,9.706592836776853,3.096372619241863,5.818929775412959,25.853075108477118,26.034593760457085,11.625919877653855,17.388051200646025
10620,"Albemarle, NC",17,49264,36.42986359207535,25.616054319584283,25.74611278012342,11.201079896070153,13.085206235790839,4.182017294576162,7.759059353686261,30.333933501136734,35.08234207534914,16.16889818122767,14.6087487820721
10660,"Albert Lea, MN",10,24027,36.17095767261831,30.004037124901153,22.89868897490323,10.064302659508053,12.7950680484455,4.069513464019645,8.024547384192783,27.543438631539516,32.72151329754027,16.261018853789487,17.886752403546012
10700,"Albertville, AL",26,73530,37.56541003671971,30.876721066231475,25.537077383380932,9.941898544811641,14.488170814633483,4.040329117367061,7.849730722154222,31.096914184686522,39.40580035359718,16.60356861145111,14.760388956888344
10740,"Albuquerque, NM",234,717778,33.234621289590926,23.812380011647054,24.478501152166828,9.863855955462551,11.967704638481536,3.4279103009565626,6.482289928083614,25.008114625970705,31.584806026375848,12.38178559387443,13.819983198147614
10760,"Alexander City, AL",12,33012,39.52364291772689,29.67104992124076,23.766851447958317,10.416288016478855,16.472101054162124,4.751911426148067,8.599009451108687,35.85025445292621,39.16626681206834,16.60389252393069,12.991275899672848
10780,"Alexandria, LA",46,116319,40.61210808208462,31.78332258702362,27.28435251334692,10.654531933733956,15.768352547735109,4.686751089675806,8.00255246348404,32.646294242557104,41.35777044163034,19.459470937680003,15.64920606263809
10820,"Alexandria, MN",11,30580,35.30185742315239,23.72818181818182,24.754506213211247,10.095601700457815,11.196301504251144,3.6236821451929364,7.125781556572924,27.352089601046437,29.59350228907783,13.940091563113146,16.569888816219752
10860,"Alice, TX",13,33959,41.13089019111282,41.37929856591773,19.971353691215878,9.145107335316117,19.407824140875764,4.362263317529963,8.126932477399217,25.338328572690596,41.617474012780114,14.975520480579522,14.39048853028652
10900,"Allentown-Bethlehem-Easton, PA-NJ",195,683720,32.343144422049896,24.73186895774263,18.35522495132033,9.497559753584078,9.814296450654187,3.1718591648732053,6.039429963903029,26.42417927783282,25.191877611906307,11.961712157961262,16.295905214133615
10940,"Alma, MI",10,32681,37.41443958263211,27.176487867568312,26.8755025856002,11.37173893087727,12.26299072855788,3.9007527309445855,7.698411921299838,30.693072427404303,34.4526054894281,17.49475230256112,16.541908142345704
10980,"Alpena, MI",10,23539,41.25597943837886,28.64673095713497,28.128641828454903,12.048298568333404,14.232210374272483,4.715973490802497,9.491460979650792,36.43681549768469,37.431454182420666,17.950065848166872,15.207846552529844
11020,"Altoona, PA",38,98475,,,,,,,,,,,
11060,"Altus, OK",8,18698,40.26884158733554,34.182393838913256,24.67367632901915,11.214530965878703,13.506936570756231,3.8035030484543797,7.435105358861911,27.362124291368062,39.82046742967163,16.250155096801798,14.21259492993903
11100,"Amarillo, TX",71,202405,37.852413230898435,28.580292976952148,23.579373533262515,10.126669301647688,12.966733529310046,3.541638299449124,6.4479345865961815,24.792701761320135,34.19355302487587,14.641213408759668,17.67073787702873
11140,"Americus, GA",10,26364,39.809016082536786,32.70295857988165,19.516397360036414,11.185973296920043,16.759695038689124,4.850189652556517,7.722181763010164,29.026134122287974,35.93785465028069,17.132013351539978,12.817770444545593
11180,"Ames, IA",34,102564,34.03773546273546,21.829687804687804,22.078657228657228,10.08543056043056,8.225371475371475,2.4234936234936235,4.8418938418938415,20.318818493818494,27.218452868452868,12.22844077844078,22.92178834678835
11200,"Amherst Town-Northampton, MA",35,138414,22.37768072593813,17.529169014695043,27.315214501423267,12.145638446977907,8.226433019781235,2.72355903304579,5.381689713468291,23.6280932564625,26.0613492854769,9.986867657895878,16.5941328189345
11220,"Amsterdam, NY",16,38248,39.16248431290525,28.122623405145365,21.560139092240117,11.234935160008366,11.776349090148504,3.9687905249947706,7.601618385275046,30.038919682074884,30.26779962350972,15.53708167747333,16.913958899811757
11260,"Anchorage, AK",84,300991,35.904159592811745,20.741698256758507,21.824708379984784,10.914026665249128,9.03264150755338,2.9346801067141546,5.344204643992677,23.348809100604335,28.939281905439035,15.241355389363799,17.478012631606926
11360,"Anderson Creek, NC",28,98069,36.740703994126584,25.805629709694195,26.46368271319173,11.173791922014093,11.713551682998705,3.555937146294956,6.247457402441139,26.346974069277753,34.03888996522857,15.461066188092058,16.082076905036253
11380,"Andrews, TX",4,12948,36.17927865307383,30.916141489033052,22.22775718257646,9.65345999382144,12.794076305220884,3.1581016373185045,5.7707367933271545,21.300316651220264,34.25619400679642,14.50317423540315,17.444385233240656
11420,"Angola, IN",9,27504,34.86950988947062,24.487267306573592,25.978773996509595,11.3070753344968,13.085882053519487,3.626828824898196,7.473291157649797,30.479577515997672,30.918044648051193,15.775025450843513,16.433296974985456
11460,"Ann Arbor, MI",104,303908,28.13503757716151,16.61033009989865,27.653960080024216,11.007354199297156,8.226732103136474,2.530209800334312,4.737153349039841,21.392162101688665,24.865444476617924,10.475696263342854,17.726945654606
11500,"Anniston-Oxford, AL",35,92283,38.781439701786894,32.44844879338556,24.842785778529088,10.785303902127152,14.984085909647499,4.325018692500245,7.745268359286109,31.876834303176103,39.77484368735304,16.741058483144243,14.098751666070672
11540,"Appleton, WI",58,185898,36.14549268953943,25.56847303359907,24.014204563793047,10.781256925841053,10.15862784968101,3.0102755274397786,5.881092857373398,26.33873468246027,27.063070608613323,13.095604040925666,21.55762030791079
11580,"Arcadia, FL",9,27008,41.33071682464455,38.32933204976304,19.12688462677725,10.303502665876778,17.696793542654028,5.352199348341233,10.28046875,31.041980154028437,43.25579087677725,20.198133886255924,13.170094046208531
11620,"Ardmore, OK",16,36685,39.793354231974924,35.22708191358866,25.218563445549954,11.84275316887011,14.63567125528145,4.450857298623416,8.441262096224616,32.56403979828267,41.19749488891918,18.29891508791059,12.761755485893419
11660,"Arkadelphia, AR",6,17401,40.61634388828228,32.96480087351301,25.819251767139818,11.124366415723236,13.605384748002988,4.207384633067065,7.664737658755245,28.315654272742943,40.19969541980346,15.50051146485834,14.05800816045055
11680,"Arkansas City-Winfield, KS",11,26392,41.11927099120946,28.576742952409823,21.72072597756896,10.397324946953622,12.911045013640498,3.8201235222794785,7.519835556229162,29.773469233100936,34.25081464080024,16.017486359502882,14.753520006062445
11700,"Asheville, NC",101,331783,31.34737252963533,21.492973419373506,24.836258638929667,10.508973937784637,11.389607665251082,3.6562557454721913,7.120925122745892,28.84078509146038,31.671026845860087,12.905553931334635,14.800879791912186
11740,"Ashland, OH",12,40638,38.16270485752251,30.697546631231855,26.216959496038186,11.178478271568483,13.92879816920124,4.042233869777055,8.249215020424234,33.00790147152911,33.094283675377724,17.694278753875682,16.440841084699052
11820,"Astoria, OR",11,33262,35.213898743310686,21.47601767783056,27.081026396488486,12.447116830016235,12.475082676928627,3.922638446275028,7.743019060790091,32.38853045517408,32.96999879742649,13.69286573266791,15.090117852203717
11860,"Atchison, KS",5,12749,37.43950898109656,28.063063769707426,21.78509687034277,10.494603498313593,11.322048788140247,3.5233508510471405,6.933728135540042,27.225076476586395,33.82650403953251,15.654757235861636,16.39627421758569
11900,"Athens, OH",15,52633,35.998054452529786,26.8643360629263,31.639758326525182,12.089844774191098,11.029483403948092,2.9966161913628335,5.992272908631468,24.18720004559877,32.62958790112667,16.354384131628446,19.515190089867573
11940,"Athens, TN",17,52113,45.04384510582773,29.940778692456778,29.30936426611402,11.21907969220732,15.438289870089996,4.352756509891965,8.469685107362846,35.30662214802449,40.75428971657743,20.33444246157389,13.279026346592982
11980,"Athens, TX",28,64930,35.41952872324041,30.11586939781303,24.337913137224703,10.620800862467272,14.738057908516865,4.491227475743107,8.433046357615895,30.952679809025103,36.63924226089636,16.452995533651624,15.424437086092716
12020,"Athens-Clarke County, GA",58,171802,31.35117169765195,24.98581157378844,22.26102781108485,10.411665754764206,11.02140079859373,3.104119276841946,5.471559120382766,22.278708047636233,30.094454080860526,13.070935146273035,16.13410088357528
12060,"Atlanta-Sandy Springs-Roswell, GA",1501,4667470,33.53690399724048,24.23649326080296,18.228247615946113,9.963946099278624,12.012782578141907,3.1954988248451515,5.187950902737457,22.19596910103332,26.864318506599936,12.24988342721003,14.917247116746333
12100,"Atlantic City-Hammonton, NJ",105,296964,31.6890980051454,26.785044315135842,16.92008391589553,9.663773723414286,12.383261607467572,3.762411605447124,6.8627264584259375,25.89356453980954,28.306783650543498,13.045412912002801,14.958787933890976
12140,"Auburn, IN",9,32726,43.870237731467334,25.817438733728533,26.697567683187682,11.378576666870378,12.862454928802787,3.5199443867261504,7.089033184623847,29.895850394182,30.885809448145206,17.069981054818797,16.941963576361303
12180,"Auburn, NY",24,61212,36.08164738940077,28.381281448082074,21.07212801411488,11.350165000326735,11.842627262628243,3.9385627001241583,7.56293373848265,29.605018623799253,32.35206005358427,15.785952100895248,16.516785924328563
12220,"Auburn-Opelika, AL",60,152670,39.4003196436759,26.612692080958936,23.969613545555774,10.511640138861598,12.479943669352197,3.319679046309033,5.6160345843977195,24.31204100347154,34.65695290495841,13.486069299796947,14.916134800550205
12260,"Augusta-Richmond County, GA-SC",145,471086,35.379884776877255,28.148556314558277,21.188177317941946,10.549354470309032,14.873188335038614,4.1440537396568775,6.727852239293887,27.152148227712136,31.645286635561234,15.008716879720476,14.3188594014681
12300,"Augusta-Waterville, ME",36,100401,32.77290764036215,24.83459527295545,28.32154659814146,12.647089172418598,11.99921813527754,3.7104829633170984,7.688113664206531,33.19087558888855,35.08904393382536,15.744090198304798,12.915526737781494
12380,"Austin, MN",11,29817,38.19927893483584,28.858463292752454,24.64715430794513,10.116960123419526,11.955293959821576,3.7447161015528057,7.095921789583124,25.142116913170348,31.32295334876077,16.21723513431935,16.696012341952578
12420,"Austin-Round Rock-San Marcos, TX",502,1762118,32.04383264911884,21.802825520197857,22.325586027723457,9.431047580241504,9.31865942008424,2.3578911287439324,4.2865883556038815,18.487404475750207,25.33080406647001,10.099511213210466,18.723935797716155
12460,"Bainbridge, GA",8,22443,42.37806888562135,34.736893463440715,20.458726551708775,11.25889586953616,18.018558125027848,5.244936060241501,8.408461435636948,29.977681236911284,38.49872120483002,19.470953081138884,12.397798868243997
12520,"Baker City, OR",6,13380,37.69412556053812,21.246674140508222,26.03492526158446,12.141995515695067,13.607301943198802,4.437713004484305,8.914588938714498,35.11776532137519,34.22772795216741,13.911038863976085,13.976875934230195
12540,"Bakersfield-Delano, CA",236,651739,36.04751610690783,32.03023618350291,23.181702031027758,10.519927148751263,13.360971493189757,3.5636949760563663,6.241102649987188,21.373247879902845,37.62145137854264,15.02415921097249,16.86166118645654
12580,"Baltimore-Columbia-Towson, MD",709,2224812,34.830786601294854,23.422280309527274,21.424943545791734,10.931681013946347,11.976402230840177,3.348869971934707,5.717642164821117,26.015491511192856,26.978860955442528,11.821908817464127,14.936574955546806
12620,"Bangor, ME",46,124474,37.87909523273937,26.229917894500048,29.105417195558914,13.511077815447404,11.4456408567251,3.5930097851760205,7.630432058100488,31.335575300866047,34.476272153220755,15.722453685106927,15.942397609139256
12660,"Baraboo, WI",24,51197,40.46607223079477,29.90284391663574,24.456349004824506,10.978207707482861,12.176287673105843,3.5498564369006,7.007721155536457,28.415282145438212,32.06837119362462,15.163638494443033,19.105846045666738
12700,"Barnstable Town, MA",56,196284,26.538582360253507,19.03077785249944,22.915666075686254,11.726506490595261,10.56085926514642,3.76366081799841,7.842655539931935,35.225615944244055,28.486064070428565,10.920561023822623,14.131939434696665
12740,"Barre, VT",20,48717,27.349087587495124,18.334714781287847,27.8166307449145,10.93261079294702,9.023445614467228,3.1987170802799847,6.074382659030728,28.18772502411889,26.15705195311698,11.801679085329559,16.19375782581029
12780,"Bartlesville, OK",14,40133,42.51319113946129,31.4697007450228,26.777377719084047,11.845448882465801,13.58570752248773,4.361216455286173,8.524787581292204,32.42367627638103,41.07195325542571,17.739972092791465,13.020322427927141
12860,"Batavia, NY",18,46834,30.267647435623694,24.941410086689157,21.227178972541314,10.951661186317631,10.7547550924542,3.5697890421488663,6.915262416193363,29.102982875688603,29.267688004441215,13.696124610325832,16.85270529956869
12900,"Batesville, AR",10,28767,41.76984391837869,35.48667570480064,26.19025619633608,10.546049292592206,13.393600305906073,4.217179406959364,8.392540063266939,30.578850766503287,40.54969930823513,17.52611673097647,14.712034623005527
12940,"Baton Rouge, LA",213,667617,37.3502400328332,27.32347244003673,26.892637395392864,10.296129068013546,14.10812576671954,3.9630665486349206,6.624334760798482,28.049305964347827,36.43544157803052,16.25137706199812,17.446763338860457
